mean,RMS,ptp,std,max,min
20.492,20.492,0.131,0.026,20.549,20.418
20.493,20.493,0.131,0.026,20.549,20.418
20.493,20.493,0.131,0.026,20.549,20.418
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.492,20.492,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.492,20.492,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.492,20.492,0.211,0.03,20.549,20.338
20.492,20.492,0.211,0.03,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.49,20.49,0.211,0.031,20.549,20.338
20.49,20.49,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.032,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.031,20.549,20.338
20.491,20.491,0.211,0.032,20.549,20.338
20.491,20.491,0.211,0.032,20.549,20.338
20.49,20.49,0.211,0.032,20.549,20.338
20.49,20.49,0.211,0.032,20.549,20.338
20.49,20.49,0.211,0.032,20.549,20.338
20.49,20.49,0.211,0.033,20.549,20.338
20.491,20.491,0.211,0.033,20.549,20.338
20.491,20.491,0.211,0.033,20.549,20.338
20.491,20.491,0.211,0.034,20.549,20.338
20.492,20.492,0.211,0.034,20.549,20.338
20.492,20.492,0.211,0.034,20.549,20.338
20.493,20.493,0.211,0.034,20.549,20.338
20.493,20.493,0.211,0.034,20.549,20.338
20.493,20.493,0.211,0.034,20.549,20.338
20.492,20.492,0.211,0.035,20.549,20.338
20.493,20.493,0.211,0.035,20.549,20.338
20.494,20.494,0.211,0.036,20.549,20.338
20.494,20.494,0.211,0.036,20.549,20.338
20.494,20.494,0.211,0.036,20.549,20.338
20.494,20.494,0.211,0.036,20.549,20.338
20.494,20.494,0.211,0.037,20.549,20.338
20.493,20.493,0.211,0.037,20.549,20.338
20.494,20.494,0.211,0.037,20.549,20.338
20.495,20.495,0.211,0.037,20.549,20.338
20.495,20.495,0.211,0.037,20.549,20.338
20.495,20.495,0.211,0.037,20.549,20.338
20.495,20.495,0.211,0.037,20.549,20.338
20.495,20.495,0.211,0.037,20.549,20.338
20.495,20.495,0.211,0.037,20.549,20.338
20.496,20.496,0.211,0.038,20.549,20.338
20.495,20.495,0.211,0.038,20.549,20.338
20.496,20.496,0.211,0.038,20.549,20.338
20.496,20.496,0.211,0.038,20.549,20.338
20.497,20.497,0.211,0.038,20.549,20.338
20.497,20.497,0.211,0.038,20.549,20.338
20.498,20.498,0.211,0.038,20.549,20.338
20.498,20.498,0.222,0.039,20.56,20.338
20.498,20.498,0.222,0.039,20.56,20.338
20.497,20.497,0.222,0.04,20.56,20.338
20.498,20.498,0.222,0.039,20.56,20.338
20.498,20.498,0.222,0.039,20.56,20.338
20.497,20.497,0.222,0.041,20.56,20.338
20.496,20.496,0.222,0.041,20.56,20.338
20.495,20.495,0.222,0.041,20.56,20.338
20.494,20.494,0.222,0.041,20.56,20.338
20.495,20.495,0.222,0.041,20.56,20.338
20.494,20.494,0.222,0.041,20.56,20.338
20.493,20.494,0.222,0.041,20.56,20.338
20.492,20.492,0.222,0.042,20.56,20.338
20.492,20.492,0.222,0.042,20.56,20.338
20.492,20.492,0.222,0.042,20.56,20.338
20.492,20.492,0.222,0.042,20.56,20.338
20.493,20.493,0.222,0.042,20.56,20.338
20.493,20.493,0.222,0.042,20.56,20.338
20.493,20.493,0.222,0.042,20.56,20.338
20.493,20.493,0.222,0.042,20.56,20.338
20.492,20.492,0.222,0.042,20.56,20.338
20.493,20.493,0.222,0.042,20.56,20.338
20.494,20.494,0.222,0.043,20.56,20.338
20.494,20.494,0.222,0.042,20.56,20.338
20.494,20.494,0.222,0.042,20.56,20.338
20.494,20.494,0.222,0.042,20.56,20.338
20.494,20.494,0.222,0.042,20.56,20.338
20.494,20.494,0.222,0.042,20.56,20.338
20.493,20.494,0.222,0.042,20.56,20.338
20.493,20.493,0.222,0.042,20.56,20.338
20.493,20.494,0.222,0.042,20.56,20.338
20.494,20.494,0.222,0.042,20.56,20.338
20.494,20.494,0.222,0.042,20.56,20.338
20.495,20.495,0.16,0.039,20.56,20.4
20.496,20.496,0.16,0.039,20.56,20.4
20.496,20.496,0.16,0.039,20.56,20.4
20.496,20.496,0.16,0.04,20.56,20.4
