Date,VOL_DL,VOL_UL
31/10/2021 02:00,3141231265,315134364
31/10/2021 03:00,1500389655,214095840
31/10/2021 04:00,1186511582,188240474
31/10/2021 05:00,411948266,63895308
31/10/2021 06:00,1268475,175642
31/10/2021 07:00,0,0
31/10/2021 08:00,2257759,216175
31/10/2021 09:00,5170108023,528679912
31/10/2021 10:00,5825861637,690106406
31/10/2021 11:00,6167628351,744756781
31/10/2021 12:00,6818687518,744634053
31/10/2021 13:00,7691088761,714818120
31/10/2021 14:00,7788153790,751412109
31/10/2021 15:00,7905675229,800651472
31/10/2021 16:00,7860734080,770005006
31/10/2021 17:00,7610632051,802529930
31/10/2021 18:00,8369988882,846147551
31/10/2021 19:00,8392265664,823810612
31/10/2021 20:00,8375786412,805322407
31/10/2021 21:00,9592988290,798751010
31/10/2021 22:00,9487575199,744624537
31/10/2021 23:00,7336101409,640565073
